"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT0007",13034,61.0848738716092,61.0848388671875,61.0849151611328,319.765716552734,308.459991455078,344.070770263672,1607843.94016447,1589646.91717589,109591.7265625,21,34,"190715_Std_4uMStdsMix1InH2O_1.mzML","C13",1689697.76965934
"FT0007",13304,61.0848722975789,61.0848274230957,61.0848922729492,299.821960449219,290.974731445312,308.560607910156,1045750.96820562,1045728.07648362,79573.9453125,21,35,"190715_Std_4uMStdsMix1InH2O_2.mzML","C13",777013.246459514
"FT0007",47127,61.0848504127249,61.0848331451416,61.084903717041,322.645416259766,299.717361450195,326.315689086914,679185.927457638,NA,99190.3671875,NA,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML","C13",924472.118950546
"FT0007",47810,61.084879950258,61.0848331451416,61.084903717041,306.084808349609,299.717361450195,326.315689086914,881358.132481337,NA,69442.578125,NA,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML","C13",975435.324158072
"FT0028",19418,75.1004196108802,75.1004104614258,75.1004867553711,529.237976074219,527.914611816406,552.175170898438,263533.491827175,NA,49588.63671875,NA,3,"190715_Blk_KM1906U14-Blk_C.mzML","C13",691651.394103348
"FT0028",20160,75.1004533333009,75.1004104614258,75.1004867553711,541.563354492188,527.914611816406,552.175170898438,4398368.89222956,NA,695064.8125,NA,4,"190715_Poo_TruePooFK180310_Full1.mzML","C13",4284884.1586175
"FT0028",1992,75.1004594364725,75.1004257202148,75.1005096435547,539.29758,529.20927,551.223498,4438245.16567289,3973114.36577057,639541.6875,59,5,"190715_Poo_TruePooFK180310_Full2.mzML","C13",4404696.7063942
"FT0028",2390,75.1004757327942,75.1004409790039,75.1005172729492,540.74267578125,525.720092773438,561.313171386719,7412804.41860514,6133978.73890532,819260.375,30,6,"190715_Poo_TruePooFK180310_Full3.mzML","C13",7078719.44119072
"FT0028",2745,75.1004658031384,75.1004333496094,75.1004791259766,525.7685546875,512.991577148438,543.822082519531,2660321.90307702,2388374.28200746,330794.28125,45,7,"190715_Poo_TruePooFK180310_Half1.mzML","C13",2831234.32174933
"FT0028",23620,75.1004317523208,75.1004104614258,75.1004867553711,540.241394042969,527.914611816406,552.175170898438,1920067.96153066,NA,300175.40625,NA,8,"190715_Poo_TruePooFK180310_Half2.mzML","C13",2836292.57958579
"FT0028",3405,75.1004511460459,75.1004257202148,75.1004943847656,547.04150390625,534.3291015625,562.863037109375,4071827.89839778,3660987.09795487,432109.6875,47,9,"190715_Poo_TruePooFK180310_Half3.mzML","C13",3947595.9174695
"FT0028",3834,75.1004537536052,75.1004180908203,75.1004867553711,538.607482910156,526.744995117188,550.939025878906,2060757.05489775,1736438.9257747,271724.0625,40,10,"190715_Smp_FK180310S62C1-25m_A.mzML","C13",1982703.61902428
"FT0028",4275,75.1004318020871,75.1003952026367,75.1004867553711,539.481140136719,527.914611816406,552.16748046875,5929611.31520462,5193140.54383117,872955.125,48,11,"190715_Smp_FK180310S62C1-25m_B.mzML","C13",5721823.79483771
"FT0028",4720,75.1004457503188,75.1004180908203,75.100471496582,542.033508300781,530.112915039062,551.268188476562,3519906.65400538,3317235.3092411,567636.3125,21,12,"190715_Smp_FK180310S62C1-25m_C.mzML","C13",3506538.77350235
"FT0028",5143,75.1004874803109,75.100471496582,75.1005249023438,539.7373046875,527.134582519531,549.692443847656,4871127.87246222,4773039.03808308,627608.625,67,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","C13",4727113.42564297
"FT0028",5623,75.1004602151566,75.1003646850586,75.1005172729492,539.732482910156,532.764465332031,547.672607421875,2418995.55380078,2249138.81128809,388119.15625,54,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","C13",2253371.22008729
"FT0028",6064,75.1003870686149,75.1003646850586,75.1004180908203,541.438232421875,532.458190917969,551.355346679688,7407988.6817475,6907913.55136112,1052247.875,74,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","C13",7200682.95211983
"FT0028",6480,75.1004021174685,75.1003646850586,75.1004791259766,540.782287597656,528.730407714844,553.939270019531,4967212.35642524,4238639.89995382,670070.8125,40,16,"190715_Smp_FK180310S64C1-25m_A.mzML","C13",4594703.86073232
"FT0028",6888,75.1004451578595,75.1003952026367,75.1004943847656,539.610107421875,523.280151367188,553.456787109375,4096676.24877385,3566916.63640858,556872.1875,23,17,"190715_Smp_FK180310S64C1-25m_B.mzML","C13",3993324.49905849
"FT0028",32101,75.1004653422718,75.1004104614258,75.1004867553711,537.096069335938,527.914611816406,552.175170898438,11274578.8536363,NA,1665122.875,NA,18,"190715_Smp_FK180310S64C1-25m_C.mzML","C13",11056459.0104094
"FT0028",7707,75.100487983515,75.1004333496094,75.1005249023438,538.780578613281,527.062622070312,556.92724609375,2044742.78266004,1558111.64601225,245989.890625,33,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","C13",1986727.06979644
"FT0028",8073,75.1004575881389,75.1004104614258,75.1005020141602,540.361511230469,530.519104003906,551.223510742188,4465937.10948091,4159022.88546987,651249.6875,72,20,"190715_Smp_FK180310S64C1-DCM_B.mzML","C13",4353837.52238417
"FT0028",8393,75.1004088413445,75.1003646850586,75.1004486083984,540.763061523438,526.625671386719,554.1630859375,3624918.15697685,2821996.46332251,421068.1875,43,21,"190715_Smp_FK180310S64C1-DCM_C.mzML","C13",3449184.13530767
"FT0028",8769,75.1004050244065,75.1003799438477,75.1004791259766,540.341857910156,527.713745117188,556.760986328125,7161058.2202689,6251158.81024836,967200.375,42,22,"190715_Smp_FK180310S77C1-25m_A.mzML","C13",6988510.97548532
"FT0028",36439,75.1004379997457,75.1004104614258,75.1004867553711,541.106018066406,527.914611816406,552.175170898438,3840492.51245677,NA,547679.1875,NA,23,"190715_Smp_FK180310S77C1-25m_B.mzML","C13",3905693.76605892
"FT0028",9516,75.1004288434317,75.1004104614258,75.1004791259766,537.604431152344,527.708801269531,560.380126953125,10659745.3977095,9959548.64051802,1601899.5,32,24,"190715_Smp_FK180310S77C1-25m_C.mzML","C13",10441492.4071822
